Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,"$5,320.00 ",180
Van Tuxwell,India,85% Dark Bars,2022-08-01,"$7,896.00 ",94
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,"$4,501.00 ",91
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,"$12,726.00 ",342
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,"$13,685.00 ",184
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,"$5,376.00 ",38
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,"$13,685.00 ",176
Gunar Cockshoot,Australia,After Nines,2022-03-24,"$3,080.00 ",73
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,"$3,990.00 ",59
Brien Boise,Australia,99% Dark & Pure,2022-07-04,"$2,835.00 ",102
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,"$4,704.00 ",62
Barr Faughny,USA,Orange Choco,2022-03-10,"$3,703.00 ",11
Mallorie Waber,Canada,Eclairs,2022-01-13,"$1,442.00 ",286
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,$168.00 ,156
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,"$8,379.00 ",173
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,"$6,790.00 ",356
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,"$4,067.00 ",42
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,"$3,017.00 ",140
Beverie Moffet,Canada,Milk Bars,2022-02-16,"$8,799.00 ",250
Curtice Advani,UK,85% Dark Bars,2022-06-08,"$1,085.00 ",172
Brien Boise,Australia,Eclairs,2022-06-27,"$6,888.00 ",88
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,"$1,267.00 ",157
Marney O'Breen,USA,After Nines,2022-05-30,"$4,753.00 ",163
Husein Augar,UK,Drinking Coco,2022-03-14,"$3,003.00 ",113
Kaine Padly,Australia,Eclairs,2022-02-28,"$7,672.00 ",115
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,$168.00 ,321
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,"$1,652.00 ",186
Husein Augar,USA,Eclairs,2022-07-07,"$4,025.00 ",112
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,"$9,492.00 ",151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,"$5,061.00 ",301
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,"$1,722.00 ",121
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,"$12,446.00 ",150
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,"$4,284.00 ",94
Karlen McCaffrey,UK,Almond Choco,2022-06-30,"$6,839.00 ",133
Andria Kimpton,Canada,After Nines,2022-05-11,"$2,163.00 ",70
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,"$9,583.00 ",315
Andria Kimpton,UK,50% Dark Bites,2022-08-24,"$2,653.00 ",314
Kelci Walkden,New Zealand,After Nines,2022-07-07,$147.00 ,72
Camilla Castle,Australia,85% Dark Bars,2022-05-19,"$3,654.00 ",14
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,"$2,443.00 ",581
Kelci Walkden,USA,After Nines,2022-06-02,$938.00 ,16
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,"$14,749.00 ",354
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,"$4,781.00 ",241
Andria Kimpton,India,Spicy Special Slims,2022-02-23,"$6,307.00 ",142
Madelene Upcott,Canada,Almond Choco,2022-08-22,"$7,602.00 ",102
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,"$6,790.00 ",188
Van Tuxwell,USA,50% Dark Bites,2022-01-13,"$9,737.00 ",160
Curtice Advani,Australia,Milk Bars,2022-02-14,"$6,979.00 ",18
Roddy Speechley,India,Eclairs,2022-06-10,"$4,382.00 ",303
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,"$5,243.00 ",176
Curtice Advani,Canada,Almond Choco,2022-03-24,"$4,865.00 ",70
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,"$8,575.00 ",23
Dotty Strutley,Australia,Drinking Coco,2022-07-19,$91.00 ,135
Beverie Moffet,USA,Raspberry Choco,2022-04-19,"$14,798.00 ",83
Marney O'Breen,India,85% Dark Bars,2022-07-19,"$2,205.00 ",179
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,$441.00 ,24
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,"$3,556.00 ",18
Brien Boise,Canada,99% Dark & Pure,2022-05-18,"$16,793.00 ",416
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,"$15,421.00 ",55
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,"$4,438.00 ",227
Andria Kimpton,Australia,Drinking Coco,2022-06-28,"$1,603.00 ",48
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,$273.00 ,174
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,"$3,073.00 ",302
Karlen McCaffrey,India,Almond Choco,2022-07-06,"$6,090.00 ",149
Oby Sorrel,India,99% Dark & Pure,2022-05-27,"$10,255.00 ",11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,"$2,030.00 ",11
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,"$19,453.00 ",14
Camilla Castle,India,50% Dark Bites,2022-07-04,"$9,275.00 ",411
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,"$6,181.00 ",56
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,"$9,037.00 ",102
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,"$12,313.00 ",103
Gigi Bohling,UK,Almond Choco,2022-01-10,"$5,642.00 ",9
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,"$2,800.00 ",241
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,$959.00 ,265
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,"$2,002.00 ",214
Roddy Speechley,Canada,Milk Bars,2022-07-13,$609.00 ,32
Camilla Castle,USA,Spicy Special Slims,2022-02-11,"$1,274.00 ",244
Marney O'Breen,USA,Orange Choco,2022-01-27,"$7,595.00 ",181
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,"$4,725.00 ",137
Camilla Castle,USA,White Choc,2022-08-18,"$9,681.00 ",24
Andria Kimpton,USA,Raspberry Choco,2022-06-30,"$14,504.00 ",21
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,$280.00 ,311
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,$63.00 ,181
Roddy Speechley,New Zealand,After Nines,2022-05-25,"$8,001.00 ",10
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,"$4,032.00 ",82
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,"$5,859.00 ",108
Karlen McCaffrey,USA,Orange Choco,2022-05-12,"$11,095.00 ",401
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,"$7,182.00 ",408
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,"$6,881.00 ",420
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,"$7,154.00 ",348
Dennison Crosswaite,UK,Eclairs,2022-03-24,"$6,188.00 ",270
Madelene Upcott,India,Raspberry Choco,2022-07-07,"$4,221.00 ",9
Van Tuxwell,USA,After Nines,2022-07-26,$630.00 ,264
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,"$1,743.00 ",111
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,"$2,919.00 ",65
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,$49.00 ,97
Beverie Moffet,Australia,Eclairs,2022-06-20,"$1,827.00 ",6
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,"$13,006.00 ",482
Marney O'Breen,USA,50% Dark Bites,2022-06-15,"$1,064.00 ",106
Husein Augar,USA,After Nines,2022-04-08,"$11,571.00 ",180
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,"$5,740.00 ",31
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,"$1,456.00 ",359
Kelci Walkden,India,Eclairs,2022-04-19,"$5,334.00 ",80
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,"$4,151.00 ",296
Brien Boise,Canada,Spicy Special Slims,2022-03-04,"$8,106.00 ",101
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,$126.00 ,40
Husein Augar,UK,Spicy Special Slims,2022-08-25,"$4,697.00 ",42
Marney O'Breen,USA,Almond Choco,2022-02-25,"$7,798.00 ",167
Kelci Walkden,India,Orange Choco,2022-06-07,"$9,408.00 ",138
Jan Morforth,India,Spicy Special Slims,2022-04-12,"$1,939.00 ",520
Ches Bonnell,India,Spicy Special Slims,2022-07-06,"$10,906.00 ",94
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,"$5,929.00 ",175
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,"$5,579.00 ",92
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,"$10,927.00 ",141
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,$623.00 ,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,"$6,013.00 ",21
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,"$1,505.00 ",47
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,$476.00 ,125
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,"$11,550.00 ",396
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,"$17,318.00 ",87
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,"$1,848.00 ",27
Kelci Walkden,Australia,Eclairs,2022-03-23,"$7,273.00 ",547
